t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,pose_src,pose_n_used,pose_rms_px,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg
2026-09-04T15:08:22.449,30,ACQUIRE_VERIFY,ACQUIRE_VERIFY,138,3,1788502102407.679,101.902,timestamp_domain.system_time,4329109.000,94.000,1,4329109.000,4329156.000,47.000,47.000,4329156.000,47.000,1,1,pnp_visible_ransac,9,1.232,9.1411,-0.402381,4.423054,-5.1981
2026-09-04T15:08:22.595,31,ACQUIRE_VERIFY,ACQUIRE_VERIFY,141,3,1788502102506.289,98.610,timestamp_domain.system_time,4329250.000,141.000,1,4329250.000,4329296.000,46.000,46.000,4329296.000,46.000,1,1,pnp_visible_ransac,9,1.367,9.7515,-0.411539,4.522963,-5.1990
2026-09-04T15:08:22.725,32,ACQUIRE_VERIFY,ACQUIRE_VERIFY,145,4,1788502102639.631,133.343,timestamp_domain.system_time,4329375.000,125.000,1,4329375.000,4329406.000,31.000,31.000,4329421.000,46.000,1,1,pnp_visible_ransac,9,2.460,-11.3674,-0.300471,5.678681,-3.0288
2026-09-04T15:08:22.821,33,ACQUIRE_VERIFY,ACQUIRE_VERIFY,149,4,1788502102774.424,134.793,timestamp_domain.system_time,4329484.000,109.000,1,4329484.000,4329515.000,31.000,31.000,4329515.000,31.000,1,1,pnp_visible_ransac,9,3.554,-14.8070,-0.271312,5.915184,-2.6261
2026-09-04T15:08:22.920,34,ACQUIRE_VERIFY,ACQUIRE_VERIFY,152,3,1788502102872.927,98.503,timestamp_domain.system_time,4329593.000,109.000,1,4329593.000,4329625.000,32.000,32.000,4329625.000,32.000,1,1,pnp_visible_ransac,8,4.021,-26.9736,-0.184657,6.560901,-1.6122
2026-09-04T15:08:23.021,35,ACQUIRE_VERIFY,ACQUIRE_VERIFY,155,3,1788502102973.109,100.182,timestamp_domain.system_time,4329687.000,94.000,1,4329687.000,4329718.000,31.000,31.000,4329718.000,31.000,1,1,pnp_visible_ransac,9,1.386,9.3838,-0.405836,4.460891,-5.1983
2026-09-04T15:08:23.138,36,ACQUIRE_VERIFY,ACQUIRE_VERIFY,158,3,1788502103073.430,100.320,timestamp_domain.system_time,4329781.000,94.000,1,4329796.000,4329843.000,47.000,62.000,4329843.000,62.000,1,1,pnp_visible_ransac,9,1.405,9.4662,-0.411396,4.529402,-5.1898
2026-09-04T15:08:23.266,37,ACQUIRE_VERIFY,ACQUIRE_VERIFY,162,4,1788502103206.810,133.380,timestamp_domain.system_time,4329921.000,140.000,1,4329937.000,4329968.000,31.000,47.000,4329968.000,47.000,1,1,pnp_visible_ransac,9,1.358,9.6110,-0.412610,4.550555,-5.1810
2026-09-04T15:08:23.398,38,ACQUIRE_VERIFY,ACQUIRE_VERIFY,166,4,1788502103340.532,133.722,timestamp_domain.system_time,4330046.000,125.000,1,4330062.000,4330093.000,31.000,47.000,4330093.000,47.000,1,1,pnp_visible_ransac,9,1.600,9.5404,-0.415186,4.634982,-5.1187
2026-09-04T15:08:23.520,39,ACQUIRE_VERIFY,ACQUIRE_VERIFY,168,2,1788502103406.679,66.148,timestamp_domain.system_time,4330171.000,125.000,1,4330187.000,4330218.000,31.000,47.000,4330218.000,47.000,1,1,pnp_visible_ransac,9,1.418,9.3436,-0.406499,4.496153,-5.1661
2026-09-04T15:08:23.641,40,ACQUIRE_VERIFY,ACQUIRE_VERIFY,173,5,1788502103573.681,167.002,timestamp_domain.system_time,4330296.000,125.000,1,4330312.000,4330343.000,31.000,47.000,4330343.000,47.000,1,1,pnp_visible_ransac,9,1.390,9.6697,-0.411796,4.497962,-5.2309
2026-09-04T15:08:23.755,41,ACQUIRE_VERIFY,ACQUIRE_VERIFY,177,4,1788502103706.776,133.094,timestamp_domain.system_time,4330421.000,125.000,1,4330421.000,4330437.000,16.000,16.000,4330453.000,32.000,1,1,pnp_visible_ransac,9,1.293,9.1623,-0.405601,4.504547,-5.1452
2026-09-04T15:08:23.888,42,SEARCH_SWEEP,SEARCH_SWEEP,181,4,1788502103840.454,133.678,timestamp_domain.system_time,4330546.000,125.000,1,4330562.000,4330593.000,31.000,47.000,4330593.000,47.000,1,1,pnp_visible_ransac,9,1.418,9.2843,-0.404652,4.507899,-5.1294
2026-09-04T15:08:23.996,43,ACQUIRE_VERIFY,ACQUIRE_VERIFY,184,3,1788502103940.275,99.821,timestamp_domain.system_time,4330656.000,110.000,1,4330671.000,4330703.000,32.000,47.000,4330703.000,47.000,1,1,pnp_visible_ransac,9,1.481,9.4886,-0.411831,4.573992,-5.1449
2026-09-04T15:08:24.110,44,ACQUIRE_VERIFY,ACQUIRE_VERIFY,187,3,1788502104040.376,100.101,timestamp_domain.system_time,4330765.000,109.000,1,4330796.000,4330812.000,16.000,47.000,4330812.000,47.000,1,1,pnp_visible_ransac,9,1.362,9.2228,-0.404103,4.478113,-5.1564
2026-09-04T15:08:24.241,45,ACQUIRE_VERIFY,ACQUIRE_VERIFY,191,4,1788502104174.268,133.892,timestamp_domain.system_time,4330890.000,125.000,1,4330906.000,4330937.000,31.000,47.000,4330937.000,47.000,1,1,pnp_visible_ransac,9,1.453,9.6708,-0.413622,4.573897,-5.1673
2026-09-04T15:08:24.354,46,ACQUIRE_VERIFY,ACQUIRE_VERIFY,195,4,1788502104307.542,133.274,timestamp_domain.system_time,4331015.000,125.000,1,4331015.000,4331046.000,31.000,31.000,4331046.000,31.000,1,1,pnp_visible_ransac,9,1.409,9.4424,-0.408111,4.515875,-5.1639
2026-09-04T15:08:24.469,47,ACQUIRE_VERIFY,ACQUIRE_VERIFY,198,3,1788502104407.524,99.982,timestamp_domain.system_time,4331125.000,110.000,1,4331125.000,4331171.000,46.000,46.000,4331171.000,46.000,1,1,pnp_visible_ransac,9,1.365,9.7826,-0.411013,4.528209,-5.1864
2026-09-04T15:08:24.600,48,ACQUIRE_VERIFY,ACQUIRE_VERIFY,202,4,1788502104541.492,133.968,timestamp_domain.system_time,4331250.000,125.000,1,4331265.000,4331296.000,31.000,46.000,4331296.000,46.000,1,1,pnp_visible_ransac,9,3.444,-23.9929,-0.213423,6.275774,-1.9477
2026-09-04T15:08:24.719,49,ACQUIRE_VERIFY,ACQUIRE_VERIFY,205,3,1788502104640.741,99.249,timestamp_domain.system_time,4331375.000,125.000,1,4331375.000,4331406.000,31.000,31.000,4331421.000,46.000,1,1,pnp_visible_ransac,8,4.281,-34.1346,-0.128007,6.666259,-1.1001
2026-09-04T15:08:24.826,50,ACQUIRE_VERIFY,ACQUIRE_VERIFY,209,4,1788502104774.215,133.474,timestamp_domain.system_time,4331484.000,109.000,1,4331500.000,4331531.000,31.000,47.000,4331531.000,47.000,1,1,pnp_visible_ransac,9,1.340,9.5116,-0.415969,4.582439,-5.1868
2026-09-04T15:08:24.944,51,ACQUIRE_VERIFY,ACQUIRE_VERIFY,212,3,1788502104874.881,100.666,timestamp_domain.system_time,4331609.000,125.000,1,4331609.000,4331640.000,31.000,31.000,4331640.000,31.000,1,1,pnp_visible_ransac,9,1.526,9.6181,-0.412410,4.593382,-5.1305
