t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg
2026-09-01T17:43:48.559,38,PRECHECK,PRECHECK,142,4,1788252228526.336,133.085,timestamp_domain.system_time,20976171.000,109.000,1,20976171.000,20976203.000,32.000,32.000,20976203.000,32.000,1,1,-3.1062,-0.162155,3.985138,-2.3301
2026-09-01T17:43:48.657,39,PRECHECK,PRECHECK,144,2,1788252228597.680,71.344,timestamp_domain.system_time,20976281.000,110.000,1,20976281.000,20976296.000,15.000,15.000,20976296.000,15.000,1,1,-3.3026,-0.160248,3.984869,-2.3029
2026-09-01T17:43:48.753,40,PRECHECK,PRECHECK,148,4,1788252228726.625,128.946,timestamp_domain.system_time,20976375.000,94.000,1,20976375.000,20976390.000,15.000,15.000,20976390.000,15.000,1,1,-1.8802,-0.161510,3.983733,-2.3216
2026-09-01T17:43:48.861,41,SEARCH_SWEEP,SEARCH_SWEEP,151,3,1788252228826.406,99.781,timestamp_domain.system_time,20976468.000,93.000,1,20976468.000,20976500.000,32.000,32.000,20976500.000,32.000,1,1,-2.5834,-0.162150,3.992876,-2.3255
2026-09-01T17:43:48.959,42,SEARCH_SWEEP,SEARCH_SWEEP,154,3,1788252228926.532,100.126,timestamp_domain.system_time,20976562.000,94.000,1,20976578.000,20976593.000,15.000,31.000,20976593.000,31.000,1,1,-3.2952,-0.160829,3.978981,-2.3146
2026-09-01T17:43:49.068,43,SEARCH_SWEEP,SEARCH_SWEEP,157,3,1788252229026.753,100.221,timestamp_domain.system_time,20976671.000,109.000,1,20976687.000,20976703.000,16.000,32.000,20976703.000,32.000,1,1,-2.2861,-0.161106,3.982369,-2.3166
2026-09-01T17:43:49.159,44,SEARCH_SWEEP,SEARCH_SWEEP,160,3,1788252229126.859,100.105,timestamp_domain.system_time,20976765.000,94.000,1,20976765.000,20976796.000,31.000,31.000,20976796.000,31.000,1,1,-1.9138,-0.162431,3.973407,-2.3409
2026-09-01T17:43:49.253,45,SEARCH_SWEEP,SEARCH_SWEEP,163,3,1788252229226.887,100.029,timestamp_domain.system_time,20976875.000,110.000,1,20976875.000,20976890.000,15.000,15.000,20976890.000,15.000,1,1,-3.3065,-0.159957,3.987818,-2.2970
2026-09-01T17:43:49.353,46,SEARCH_SWEEP,SEARCH_SWEEP,165,2,1788252229293.424,66.537,timestamp_domain.system_time,20976968.000,93.000,1,20976984.000,20977000.000,16.000,32.000,20977000.000,32.000,1,1,-2.3719,-0.161280,3.979443,-2.3208
2026-09-01T17:43:49.450,47,SEARCH_SWEEP,SEARCH_SWEEP,168,3,1788252229393.470,100.045,timestamp_domain.system_time,20977062.000,94.000,1,20977062.000,20977093.000,31.000,31.000,20977093.000,31.000,1,1,-3.0585,-0.162210,3.985183,-2.3308
