frame_i,t_mono,fsm_state,det_ok,yaw4_deg,x4,y4,z4,reproj4_px,yawm_deg,xm,ym,zm,reprojm_px,n_used
54,20462.828,PRECHECK,1,-2.6416044611823,-0.32861621578624756,0.2771678695773489,4.338874432335138,0.1289695191429575,-9.236328832104437,-0.3245472311973572,0.2777033746242523,4.368380546569824,1.8250748977346578,9.0
55,20462.937,PRECHECK,1,-2.6580865156157962,-0.328182488924677,0.2777400372683004,4.34453554409098,0.12080955606901503,-9.474890520740546,-0.3237147331237793,0.2781871557235718,4.37270450592041,1.9064537333903493,9.0
56,20463.031,PRECHECK,1,-2.529266609183142,-0.32729780958203436,0.2772600129118122,4.345263049676085,0.11765265155950057,-9.276225363579062,-0.32302170991897583,0.2777559161186218,4.374597549438477,1.7711920335080555,9.0
57,20463.125,PRECHECK,1,-2.6817312446161234,-0.32753995066726066,0.2774533391364726,4.346206938041402,0.12955448337705588,-9.463797706524133,-0.32312703132629395,0.2779231667518616,4.374520778656006,1.870576963273602,9.0
58,20463.218,PRECHECK,1,-2.3823127233855725,-0.32820747417291846,0.27696664206108146,4.348034753744191,0.11373255896141242,-9.292456040292084,-0.3237997889518738,0.2774313986301422,4.377182483673096,1.7599665177211448,9.0
59,20463.312,PRECHECK,1,-2.4439167224692264,-0.32829908909598077,0.2768164433235323,4.345717449614484,0.11412244177784159,-9.253342124788713,-0.3239947259426117,0.2773113548755646,4.375308036804199,1.8068028842742563,9.0
60,20463.421,PRECHECK,1,-2.2419307311873458,-0.330772101125433,0.2761828354738336,4.341682428971957,0.1388660515726648,-8.970386062214486,-0.32684892416000366,0.27681899070739746,4.373024940490723,1.7801306155911278,9.0
61,20463.531,PRECHECK,1,-2.0708756563359407,-0.3276038561654296,0.27490502873676587,4.3277357085775074,0.1319348739000381,-8.995343584991428,-0.3233813941478729,0.27549266815185547,4.358524799346924,1.7818594620880788,9.0
62,20463.64,PRECHECK,1,-2.415629341088312,-0.32843062618340657,0.2755026047175464,4.329342516342542,0.16762963632867486,-8.914519712941296,-0.32469621300697327,0.2761169970035553,4.359024524688721,1.650830343623839,9.0
63,20463.734,PRECHECK,1,-2.3960310883308806,-0.3288593496658329,0.27532414516053033,4.3267373044506465,0.16944969637153331,-8.954797540415337,-0.32515740394592285,0.2759579122066498,4.356773376464844,1.6970463160181415,9.0
