distance_m,lateral_m,facing,success,state,elapsed,reasons,trace_hash
5.0,1.0,True,True,DONE,56.45666666666477,[],45defeca91f4e12bb5aec0a4b4eb50a560bdce42255f978f628323bfae32ba5f
5.0,1.1,True,False,FAILED,43.86666666666674,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],90c73e58107507de46f480dcd052475f382b073bbca762af9a1e740fd7f40411
5.0,1.05,True,False,FAILED,43.83333333333341,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],3caef12b50a7ae6f63bd330a6e3a1c88e380bca34f37dd8b41c9678d218d5e79
5.0,1.025,True,False,FAILED,43.800000000000075,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],956dc3f372d42be03ed2662f89011194761e78734e932b8bb7c03b88ae297adb
5.0,1.0125,True,True,DONE,56.533333333331434,[],6cc8108d705fdd14bae883d6303f8fdf8b5827668e93eb5e73b0a82024a225bd
5.0,1.01875,True,False,DONE,56.533333333331434,['fork/slot geometry collision'],fb3453b3265834a68dd08483052aeb334d432fa800ef3392c95d47ace84e6c90
5.0,0.253125,True,True,DONE,43.52999999999864,[],0881cfc83960489a9226be261b2bc9254995551f614f3c323592101be50b8507
5.0,0.50625,True,True,DONE,44.093333333331934,[],9b546c228db5d5ffdfa62fe83b4c37a5448edf13b30b654d39063f4069067ddd
5.0,0.759375,True,True,DONE,48.31666666666503,[],e2cb5589d2a4e9dda7fd5b1fcd5f04504359f6772ceb80500e0c9ffac18fc01c
5.0,0.91125,True,False,FAILED,43.566666666666755,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],2080abd6366226e27b3f5b3b018bf9b1ba0e3670e0a211aa786f5a3c09c5dd58
5.0,1.03875,True,False,FAILED,43.83333333333341,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],1e4a4fa1572dd3536a0c9e89586fc29bc1db4aedea4777e4a277cb097a5d89ca
5.0,2.0,True,False,FAILED,48.53333333333314,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],38339f30933c201b67634806ea49e2cde020f4659278297f1e29007063967a2a
5.0,0.855625,True,False,DONE,48.54999999999835,['fork/slot geometry collision'],f19d7e9eaeab1231243547295e8f1ffc7258d9538ea582dec1ba74b613663356
5.0,0.8278125,True,True,DONE,56.056666666664796,[],c348283c1fc4fd06b8fb8cbb36fa66a66ec52d726abe460d8f21a26bf5e8247e
5.0,0.8417188,True,True,DONE,48.50333333333168,[],8cc6fc263860ed778cf8aef818fd1e8ea5d6120f78e8a8113f715fe083cd7143
5.0,0.8486719,True,True,DONE,48.54666666666501,[],f687ec5592a336b0ac4b5aeffa4947ab1ebf87714ba9d7f8307e544fd8715b3b
5.0,0.212168,True,True,DONE,43.38666666666531,[],7679874f9a788b66f4e98070ac3471e7c14cc28cda59ee06ac71b0264e7f9505
5.0,0.4243359,True,True,DONE,43.91666666666528,[],e6d8f7b502bec9f0fea66ec0493bbe509dbd40ead7b63530e9f8f463ed1f9625
5.0,0.6365039,True,True,DONE,44.39333333333192,[],744afb18c460dd5b046d1d50edf0c508c216ce11d9874af201287b2604b57c56
5.0,0.7638047,True,True,DONE,48.31666666666503,[],4a2cb2342a23404aa2ae0ce0a6cd8097ece4adc6c6e0bf122cfe0f27cf377a20
5.0,-0.1,True,True,DONE,28.133333333334978,[],051eceffecf3aca88e52441fcc16c2b2dbeb9f2d4566eaaf08727c0db4f5bed0
5.0,-0.2,True,True,DONE,43.106666666665326,[],a0dcd212a5c1f1a0227faf65eecdea641a280e15d92da3e3dcc029847c5996df
5.0,-0.4,True,True,DONE,43.806666666665286,[],b25566f4b590862a9a69aef3c85bf3aa9a0af6aa2607a7fb3c9c404cccd05cf6
5.0,-0.8,True,True,DONE,48.46999999999835,[],6e0a939296a7650f710fe8350d511610432ed43a0504fdfbda9f3107cc5299de
5.0,-1.6,True,False,FAILED,44.500000000000036,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],9a3cb95204e1d6eca7adeefe6cfdad419673fe169eec15255babb0640cfb0579
5.0,-1.2,True,False,FAILED,44.06666666666673,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],7e3962898c0e164f3bfc675b463096e329d3e12902bdebaf00485b2d094aa3c2
5.0,-1.0,True,True,DONE,56.45666666666477,[],197cb132f673d06fa45ca68ee4a98469f4e5d343fecc32b84353d6139ba20e2b
5.0,-1.1,True,False,FAILED,43.86666666666674,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],cb2e6c2a0d73d73792fe11548bc8794bd7139e10a2d9b54ebcd91598f228e527
5.0,-1.05,True,False,FAILED,43.83333333333341,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],c7e8022df81baf1c7831e63c4fcc018934644ac46bef947fd91988df3ed009ea
5.0,-1.025,True,False,FAILED,43.800000000000075,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],955b893a1bd351b27d2616745d58eeab10dfa133c8e720ae908b6648a65fa841
5.0,-1.0125,True,True,DONE,56.533333333331434,[],8cb5887c03425415ccea1c6ab412d951e76b43d24a192c261b043a67c2a47a29
5.0,-1.01875,True,False,DONE,56.533333333331434,['fork/slot geometry collision'],06c2a8d2eb02965812dbbd0cda84183beabf9f3e7ed21c8bc92a97b3eddc6587
5.0,-0.253125,True,True,DONE,43.52999999999864,[],e7f2a618c87fc90315c7290f299f025b19c47bc92610f44510e68d01ef6fb0b2
5.0,-0.50625,True,True,DONE,44.093333333331934,[],42d2b45fe5dc77a992faaa9e00606b5747d126b4acb773a0d46472c19e8cc4ca
5.0,-0.759375,True,True,DONE,48.31666666666503,[],1c33cb9642d304a6e8bc685f280439457b754bc25fe520cc06e884b8ba2d1b65
5.0,-0.91125,True,False,FAILED,43.566666666666755,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],6238dc682b959921bbd769652da2fd71f8e8ec48d07b21519f4f5ef3022d6fc8
5.0,-1.03875,True,False,FAILED,43.83333333333341,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],759a470a6f3050151bc14ca635665e3d99d33a06b36e7089680f186344682eb2
5.0,-2.0,True,False,FAILED,48.53333333333314,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],b86cb2c1ac98fbe5f373e479d1c5e4b90cb77ae458c519529ee6ebb8b024759d
5.0,-0.855625,True,False,DONE,48.54999999999835,['fork/slot geometry collision'],6c550c68ab75e89cc3fcc621bc0a4d39f7ed202730cfef05904af3f20257406f
5.0,-0.8278125,True,True,DONE,56.056666666664796,[],91268da14a1fbec4c367f02407245247cc9b5c589b8619cd68e0701baf414892
5.0,-0.8417188,True,True,DONE,48.50333333333168,[],6592d8f9ee513d2b76a1f871cb45e93f5b98f418d509315fefabc396727a7d08
5.0,-0.8486719,True,True,DONE,48.54666666666501,[],650c77fa7bdc1ab2c715fc0fd81e2ed62250058d6f2f521f82d774b3235695cb
5.0,-0.212168,True,True,DONE,43.38666666666531,[],439ecfa5972e3ed09df622907b677a30ca182f6ed095e7fe468d9a514f9e9466
5.0,-0.4243359,True,True,DONE,43.91666666666528,[],60b3a5c8ef4643bf211bafeddf934acb4fdf08fb38fb049e4612db025cc26446
5.0,-0.6365039,True,True,DONE,44.39333333333192,[],f90effa4db4067305269412e4526eb4e5a182c70cd94aa4972c139f8d114075f
5.0,-0.7638047,True,True,DONE,48.31666666666503,[],67071d73dd71db30ff1413f59acba70005055cf26ce57d9db3a66535cc0b19e3
3.0,0.2406,True,True,DONE,25.030000000001344,[],edaedd1b69c83fd3ce6764eb11f50f17137b7a845db03569253ba1bac6a70d19
3.0,0.1203,True,True,DONE,24.78666666666797,[],2efb0111e541a3046505382fe6eef60c1e2608fc0a25fb4f9470d2de2f123b1d
3.0,0.2406,False,True,DONE,25.430000000001414,[],06e14f08dd6cf0d7c0f6193c436cd6d1d7fe7150c7a5af2cdd58c1e0eadeef69
3.0,-0.2406,True,True,DONE,25.030000000001344,[],0b181e3d46b7b9ec3d4862d0ea991c997f27ca83b2342ad963c4c62f7ff46fc7
3.0,-0.1203,True,True,DONE,24.78666666666797,[],9a2f1df98f284539f4b5e432fe8967a91a24f08a606dd3cfe4cf30de7f7b7d38
3.0,-0.2406,False,True,DONE,25.430000000001414,[],4d4ea23eec2db46b7508d1cb501fe3bf0a731b51c674fed9b7373d10b31e0b2e
3.25,0.2881,True,True,DONE,26.063333333334857,[],76ad466ecdab8a9001455c7dc4191341118e3dc93ade95c97b5428286140a8b4
3.25,-0.2881,True,True,DONE,26.063333333334857,[],f26578c507d693086299b806ab59a5c7e3979c0bcc1f5238b06951596d716ad5
3.5,0.3356,True,True,DONE,27.193333333334937,[],8a0a22c05450a0b76f235d7ee937bd4de2d011d58a8a3d66b7ce7ac2c80902ad
3.5,0.1678,True,True,DONE,26.81000000000158,[],11956d49d48061e82466e9ce0a140c2481862f9c16189697b9ca80ee0296efb4
3.5,-0.3356,True,True,DONE,27.193333333334937,[],67c989972eab4b228fdeb67847ce33147c043d85c53cf72c7ae0bcf0f26d9362
3.5,-0.1678,True,True,DONE,26.81000000000158,[],22c7e14af6e3d177fad0e00fd5940eecbfbbb1258b46a11b5b180f0351c81365
3.75,0.3831,True,True,DONE,35.71666666666737,[],7ac53e6dd2bca41c16f176b963f456efeac3d5f259d8efedbca78f2acf2a3499
3.75,-0.3831,True,True,DONE,35.71666666666737,[],b07d1ea472375ca2f72ad7700bfaf09945c9b073974d8d946d7c2b288b69db22
4.0,0.4306,True,True,DONE,36.99666666666698,[],de7701d031ed8579377a69f3edc78ee28eff64af63ccba0ffbf2fad8cd3a76b2
4.0,0.2153,True,True,DONE,36.32000000000052,[],904e8c56089de027d7ab519ec41bb3b52b7ce02141b1a0d83b519c1c12b2f8c9
4.0,0.4306,False,True,DONE,37.496666666666826,[],00b84b3a9944e413ddc3374ad1f2f6598b3f2e91b8285d0e7515dd6bfa472136
4.0,-0.4306,True,True,DONE,36.99666666666698,[],f48fe60a61d6ca55ae5dcc7c9ab5925a419bcc70ae6907ce1a45ed44d729df2b
4.0,-0.2153,True,True,DONE,36.32000000000052,[],c6c74fdc9c6f773d4797778976677a6a93d831af04ebb1bb4c37ae9b40a66085
4.0,-0.4306,False,True,DONE,37.496666666666826,[],8bccc9bfa9a4bdb5bb27df0def8fe593ca36d87e71fe4ef830434a5f0265a8ca
4.25,0.4781,True,True,DONE,37.9266666666667,[],8615140d1375d72d2f45c527b475b66d4d6fb1f2c89344810e3f7cb8b0fbff08
4.25,-0.4781,True,True,DONE,37.9266666666667,[],f23269c41ff0b7e15f5a3df470fdb7bdb110b6896aebf95c294939101e36a3e7
4.5,0.5256,True,True,DONE,45.9399999999985,[],8bdaf1b57bbcb09ccd7bc75512b139f012bfeaab937956a1113909f3efe42c78
4.5,0.2628,True,True,DONE,34.393333333334446,[],3897e01f3ff5d0f44952d63c54ea288d1a3a2b906f9bcb0d17c4d0f79fc04a3b
4.5,-0.5256,True,True,DONE,45.9399999999985,[],887d29687d2bbd55076b322e190e51902f9a6134116afcdf241afb5760e8fc83
4.5,-0.2628,True,True,DONE,34.393333333334446,[],53f4ae381a02b902b21e46c31332b8f3d6745674bc8294ebce5b4cd96988f6d9
4.75,0.5731,True,True,DONE,47.17333333333176,[],489133281bae40958c0e78305bd89bd4e8aef1ed8ea6fd605a9daadaa738828d
4.75,-0.5731,True,True,DONE,47.17333333333176,[],54fa6f94e59d68dc989f0382fe66e5e0df0f50556cf09c47d123067c4dd30a2d
5.0,0.6206,True,True,DONE,44.38333333333192,[],7451f1e7c104128722d4552594032d53a3459c3aee8a61574c4a0732b830a8f5
5.0,0.3103,True,True,DONE,43.64333333333197,[],b1b7d2c4c165cc06192f3b3cdb0f726d6c5acd3e0c53b110e343e992c8babf33
5.0,0.6206,False,True,DONE,44.983333333331885,[],dfa1549a6a25b823eaf2fe2568d3ec44ca9669ae20a3ade10bcd909749c4b954
5.0,-0.6206,True,True,DONE,44.38333333333192,[],5c95f9dc89fcca19837c3ee4644897143d14a95bc7765c7c3ca9e98dc0a3e63a
5.0,-0.3103,True,True,DONE,43.64333333333197,[],cdf12d987ba024d1aaf4c2205705e4448f22e8b19e0c394542715cab6ecda04b
5.0,-0.6206,False,True,DONE,44.983333333331885,[],dabbc1504de33b8d4ff802016f3bf232c451a2d53ca3e55d1dc4d442c4195d21
