video_frame,video_time_s,world_sim_s,fsm_sim_s,camera_sim_s,state
53,3.533333333333333,3.5333333333333092,3.5333333333333092,3.5333333333333092,COARSE_PREPARE
54,3.6,3.593333333333308,3.593333333333308,3.593333333333308,COARSE_PREPARE
55,3.6666666666666665,3.6633333333333065,3.6633333333333065,3.6633333333333065,COARSE_PREPARE
56,3.7333333333333334,3.733333333333305,3.733333333333305,3.733333333333305,COARSE_PREPARE
57,3.8,3.7933333333333037,3.7933333333333037,3.7933333333333037,COARSE_PREPARE
58,3.8666666666666667,3.863333333333302,3.863333333333302,3.863333333333302,COARSE_PREPARE
59,3.933333333333333,3.9333333333333007,3.9333333333333007,3.9333333333333007,COARSE_PREPARE
60,4.0,3.9933333333332994,3.9933333333332994,3.9933333333332994,COARSE_PREPARE
61,4.066666666666666,4.063333333333298,4.063333333333298,4.063333333333298,COARSE_PREPARE
62,4.133333333333334,4.1333333333332964,4.1333333333332964,4.1333333333332964,COARSE_PREPARE
63,4.2,4.193333333333295,4.193333333333295,4.193333333333295,COARSE_PREPARE
64,4.266666666666667,4.263333333333294,4.263333333333294,4.263333333333294,COARSE_PREPARE
65,4.333333333333333,4.333333333333292,4.333333333333292,4.333333333333292,COARSE_PREPARE
66,4.4,4.393333333333291,4.393333333333291,4.393333333333291,COARSE_PREPARE
