recording,step,direction,model_hash,command_start_host_s,command_stop_host_s,command_start_iso,command_stop_iso,command_duration_s,start_angle_deg,end_angle_deg,signed_rotation_deg,rotation_magnitude_deg,endpoint_noise_scale_deg,start_first_frame_i,start_last_frame_i,end_first_frame_i,end_last_frame_i,end_observation_after_stop_s,accepted,exclusion_reasons
forklift_v4_recording_20260904_105615,3,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,2535.296,2536.453,2026-09-04T10:56:36.457,2026-09-04T10:56:37.624,1.1570000000001528,-7.940105000000001,-8.755184,-0.8150789999999972,0.8150789999999972,0.11509032061689517,169,179,212,222,2.655999999999949,True,
forklift_v4_recording_20260904_105615,5,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,2548.453,2549.859,2026-09-04T10:56:49.625,2026-09-04T10:56:51.022,1.405999999999949,-8.8174375,-10.6630155,-1.845577999999989,1.845577999999989,0.13842427160658763,314,325,360,371,2.686999999999898,True,
forklift_v4_recording_20260904_105615,9,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,2569.625,2570.937,2026-09-04T10:57:10.787,2026-09-04T10:57:12.104,1.3119999999998981,-7.986533,-9.2989855,-1.3124525000000062,1.3124525000000062,0.07340880140042295,578,591,630,643,2.625,True,
forklift_v4_recording_20260904_142318,2,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1645.609,1648.109,2026-09-04T14:23:38.915,2026-09-04T14:23:41.405,2.5,0.5699590000000001,15.887572500000001,15.317613499999993,15.317613499999993,0.07590773352830248,200,211,262,277,2.6720000000000255,True,
forklift_v4_recording_20260904_144221,2,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,2781.953,2782.687,2026-09-04T14:42:35.250,2026-09-04T14:42:35.986,0.7339999999999236,29.322095000000004,29.526693000000005,0.20459800000000428,0.20459800000000428,0.09953797693828431,123,133,161,171,2.670177341226008,True,
forklift_v4_recording_20260904_144733,3,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,3106.609,3108.156,2026-09-04T14:47:59.917,2026-09-04T14:48:01.450,1.5470000000000255,5.467949,6.83037,1.3624210000000119,1.3624210000000119,0.0415701750947654,293,303,336,347,2.625,True,
forklift_v4_recording_20260904_144733,6,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,3136.671,3138.468,2026-09-04T14:48:29.976,2026-09-04T14:48:31.765,1.7970000000000255,6.566552,-1.326465,-7.893016999999986,7.893016999999986,0.03664679766517053,614,624,660,670,2.625,True,
forklift_v4_recording_20260904_145924,2,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,3806.765,3808.781,2026-09-04T14:59:40.058,2026-09-04T14:59:42.083,2.0160000000000764,13.079296,4.634271,-8.445024999999987,8.445024999999987,0.0547846007537871,151,161,202,213,2.6731496111606248,True,
forklift_v4_recording_20260904_145924,4,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,3826.203,3827.718,2026-09-04T14:59:59.497,2026-09-04T15:00:01.012,1.5149999999998727,3.359738,1.015794,-2.3439439999999934,2.3439439999999934,0.09982226324801899,383,395,433,445,2.6482502499993643,True,
forklift_v4_recording_20260904_150944,2,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,4429.359,4430.875,2026-09-04T15:10:02.656,2026-09-04T15:10:04.178,1.5159999999996217,-1.3968585,4.06995,5.466808500000013,5.466808500000013,0.18099280623991257,135,144,167,176,1.875,True,
forklift_v4_recording_20260904_150944,4,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,4449.484,4451.203,2026-09-04T15:10:22.784,2026-09-04T15:10:24.509,1.719000000000051,-2.555652,2.31752,4.873172000000011,4.873172000000011,0.06811055336657457,266,274,306,315,2.592999999999847,True,
forklift_v4_recording_20260904_190446,3,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,18541.531,18543.562,2026-09-04T19:05:14.832,2026-09-04T19:05:16.861,2.0310000000026776,-12.897157,-21.016855,-8.119698,8.119698,0.21775536668081516,282,292,337,348,2.645864037822321,True,
forklift_v4_recording_20260904_190446,4,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,18550.453,18550.781,2026-09-04T19:05:23.750,2026-09-04T19:05:24.074,0.3279999999977008,-21.120774,-20.960153,0.1606209999999919,0.1606209999999919,0.3078460621544851,387,397,422,433,2.69720841545859,True,
forklift_v4_recording_20260904_190446,8,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,18578.531,18579.296,2026-09-04T19:05:51.835,2026-09-04T19:05:52.593,0.7649999999994179,-21.071254,-21.018151500000002,0.05310249999999428,0.05310249999999428,0.42415236883966406,717,727,756,767,2.668611272019916,True,
