beta_deg,camera_z_m,category,clearance_m,cycles,elapsed_sec,final_camera_z_m,final_yaw_deg,forward_m,min_fov_deg,radius_m,reason,success,terminal,turn_deg,x_m,y_m
25.0,-0.27846928287015754,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.3803564355666295,0.815677008332985
27.5,-0.267855958248022,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.4155737519115305,0.7983097498603996
30.0,-0.25631397208144135,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.44999999999999996,0.7794228634059949
32.5,-0.24386529519708722,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.48356964751214143,0.7590523012315972
35.0,-0.23053362435894553,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.5162187927159415,0.7372368398600926
37.5,-0.21634433716017942,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.5478852861078486,0.7140180062621116
40.0,-0.20132444371543795,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.5785088487178853,0.6894399988070802
42.5,-0.1855025352455683,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.6080311868540942,0.6635496031291117
45.0,-0.16890872965260117,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.6363961030678928,0.6363961030678928
-45.0,-0.06890872965260131,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.7071067811865476,0.7071067811865476
-42.5,-0.08550253524556839,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.6755902076156602,0.7372773368101241
-40.0,-0.10132444371543803,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.6427876096865393,0.766044443118978
-37.5,-0.11634433716017945,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.6087614290087207,0.7933533402912352
-35.0,-0.13053362435894555,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.573576436351046,0.8191520442889918
-32.5,-0.14386529519708724,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.5372996083468238,0.8433914458128857
-30.0,-0.15631397208144138,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.49999999999999994,0.8660254037844387
-27.5,-0.16785595824802202,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.4617486132350339,0.8870108331782217
-25.0,-0.17846928287015762,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.42261826174069944,0.9063077870366499
-22.5,-0.18813374288120777,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.3826834323650898,0.9238795325112867
-20.0,-0.19683094143224977,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.3420201433256687,0.9396926207859084
-17.5,-0.2045443229115249,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.3007057995042731,0.9537169507482269
-15.0,-0.21125920445898771,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.25881904510252074,0.9659258262890683
-12.5,-0.21696280391596345,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.21643961393810288,0.9762960071199334
-10.0,-0.22164426415671445,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.17364817766693033,0.984807753012208
-7.5,-0.22529467375559575,0,,,,,,,,1.0,rotation-only geometry impossible under current insertion gates,False,,,-0.13052619222005157,0.9914448613738104
