t_iso,t_mono,sim_time_s,frame_i,fsm_state,camera_frame_number,inference_ran,pose_src,model_det_ok,pnp_ok,result_fps,result_interval_s,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,pose_result_host_mono_ms,pos_x_m,pos_z_m,yaw_deg
2026-09-07T08:58:57.628+00:00,1002.3,2.2999999999999723,23,ACQUIRE_VERIFY,23,0,simulation,1,,10.000000000000213,0.09999999999999787,1002180.0,1002300.0,120.00000000000011,1002300.0,0.013944157269491561,2.0118259874051105,-1.2643187541124234
2026-09-07T08:58:57.728+00:00,1002.4,2.39999999999997,24,ACQUIRE_VERIFY,24,0,simulation,1,,10.000000000000213,0.09999999999999787,1002280.0,1002400.0,120.00000000000011,1002400.0,-0.00912914486999675,1.9994093563380677,-1.7883283828891479
2026-09-07T08:58:57.828+00:00,1002.5,2.499999999999968,25,ACQUIRE_VERIFY,25,0,simulation,1,,10.000000000000213,0.09999999999999787,1002380.0,1002500.0,120.00000000000011,1002500.0,-0.01125643857528323,2.004178301898022,0.19086124348498856
2026-09-07T08:58:57.928+00:00,1002.5999999999999,2.599999999999966,26,ACQUIRE_VERIFY,26,0,simulation,1,,10.000000000000213,0.09999999999999787,1002480.0,1002599.9999999999,120.00000000000011,1002599.9999999999,0.015498160394929322,1.9778197659167138,0.34926763944997674
2026-09-07T08:58:58.028+00:00,1002.6999999999999,2.6999999999999638,27,ACQUIRE_VERIFY,27,0,simulation,1,,10.000000000000213,0.09999999999999787,1002579.9999999999,1002699.9999999999,120.00000000000011,1002699.9999999999,0.004877357777153244,2.0127084727561644,0.6789681686983329
2026-09-07T08:58:58.128+00:00,1002.8,2.7999999999999616,28,ACQUIRE_VERIFY,28,0,simulation,1,,10.000000000000213,0.09999999999999787,1002680.0,1002800.0,120.00000000000011,1002800.0,-0.0031098300320931372,2.0462416391790703,-0.6496258014826992
2026-09-07T08:58:58.228+00:00,1002.9,2.8999999999999595,29,ACQUIRE_VERIFY,29,0,simulation,1,,10.000000000000213,0.09999999999999787,1002780.0,1002900.0,120.00000000000011,1002900.0,-0.02359149422881571,2.0255736830520035,1.1230092110328371
2026-09-07T08:58:58.328+00:00,1003.0,2.9999999999999574,30,ACQUIRE_VERIFY,30,0,simulation,1,,10.000000000000213,0.09999999999999787,1002880.0,1003000.0,120.00000000000011,1003000.0,0.017302799193564845,1.999165277718406,0.47948915261693514
2026-09-07T08:58:58.428+00:00,1003.0999999999999,3.0999999999999575,31,INSERT_DRIVE,31,0,simulation,1,,9.999999999999991,0.10000000000000009,1002979.9999999999,1003099.9999999999,120.00000000000011,1003099.9999999999,-0.015477440350664801,2.011592275142472,-0.6932785778873551
2026-09-07T08:58:58.528+00:00,1003.1999999999999,3.1999999999999553,32,INSERT_DRIVE,32,0,simulation,1,,10.000000000000213,0.09999999999999787,1003079.9999999999,1003199.9999999999,120.00000000000011,1003199.9999999999,0.016315940502228163,1.9885516975597142,0.5785758666683307
2026-09-07T08:58:58.628+00:00,1003.3,3.299999999999953,33,INSERT_DRIVE,33,0,simulation,1,,10.000000000000213,0.09999999999999787,1003180.0,1003300.0,120.00000000000011,1003300.0,0.020567965595911557,1.9628098740061608,-1.2237370782671348
2026-09-07T08:58:58.728+00:00,1003.4,3.399999999999951,34,INSERT_DRIVE,34,0,simulation,1,,10.000000000000213,0.09999999999999787,1003280.0,1003400.0,120.00000000000011,1003400.0,0.0071367474816068826,2.0079448706383918,1.818215723005153
2026-09-07T08:58:58.828+00:00,1003.5,3.499999999999949,35,INSERT_DRIVE,35,0,simulation,1,,10.000000000000213,0.09999999999999787,1003380.0,1003500.0,120.00000000000011,1003500.0,0.004554361947198833,1.9869483574690197,0.7219931459056284
2026-09-07T08:58:58.928+00:00,1003.5999999999999,3.599999999999947,36,INSERT_DRIVE,36,0,simulation,0,,10.000000000000213,0.09999999999999787,1003479.9999999999,1003599.9999999999,120.00000000000011,1003599.9999999999,,,
2026-09-07T08:58:59.028+00:00,1003.6999999999999,3.6999999999999447,37,INSERT_DRIVE,37,0,simulation,1,,10.000000000000213,0.09999999999999787,1003579.9999999999,1003699.9999999999,120.00000000000011,1003699.9999999999,-0.017500514441950932,2.0738943042240137,0.3774813214745336
2026-09-07T08:58:59.128+00:00,1003.8,3.7999999999999425,38,INSERT_DRIVE,38,0,simulation,1,,10.000000000000213,0.09999999999999787,1003680.0,1003800.0,120.00000000000011,1003800.0,-0.006764323605963471,2.020258077884361,0.01518296433090427
2026-09-07T08:58:59.228+00:00,1003.9,3.8999999999999404,39,INSERT_DRIVE,39,0,simulation,1,,10.000000000000213,0.09999999999999787,1003780.0,1003900.0,120.00000000000011,1003900.0,0.004248174766376071,1.9943403174012377,2.2424791667295096
2026-09-07T08:58:59.328+00:00,1003.9999999999999,3.9999999999999383,40,INSERT_DRIVE,40,0,simulation,1,,10.000000000000213,0.09999999999999787,1003879.9999999999,1003999.9999999999,120.00000000000011,1003999.9999999999,0.01045631977430292,2.006384563017153,1.4529306503924033
2026-09-07T08:58:59.428+00:00,1004.0999999999999,4.099999999999937,41,INSERT_DRIVE,41,0,simulation,1,,10.000000000000169,0.09999999999999831,1003979.9999999999,1004099.9999999999,120.00000000000011,1004099.9999999999,0.004515597085438294,1.9852011485834868,-0.3156655703911895
2026-09-07T08:58:59.528+00:00,1004.1999999999999,4.1999999999999345,42,INSERT_DRIVE,42,0,simulation,1,,10.000000000000213,0.09999999999999787,1004079.9999999999,1004199.9999999999,120.00000000000011,1004199.9999999999,0.009417458519192153,1.9958045050877171,-0.2577957512018827
2026-09-07T08:58:59.628+00:00,1004.3,4.299999999999932,43,INSERT_DRIVE,43,0,simulation,1,,10.000000000000213,0.09999999999999787,1004180.0,1004300.0,120.00000000000011,1004300.0,-0.0010141530713924526,1.951028024699926,0.22805030148782635
2026-09-07T08:58:59.728+00:00,1004.4,4.39999999999993,44,INSERT_DRIVE,44,0,simulation,1,,10.000000000000213,0.09999999999999787,1004280.0,1004400.0,120.00000000000011,1004400.0,-0.004276479966839501,1.9635335135850465,-0.4340693177885271
2026-09-07T08:58:59.828+00:00,1004.4999999999999,4.499999999999928,45,INSERT_DRIVE,45,0,simulation,1,,10.000000000000213,0.09999999999999787,1004379.9999999999,1004499.9999999999,120.00000000000011,1004499.9999999999,0.0062307604293291045,1.9590195819398655,1.006376033019734
2026-09-07T08:58:59.928+00:00,1004.5999999999999,4.599999999999926,46,INSERT_DRIVE,46,0,simulation,0,,10.000000000000213,0.09999999999999787,1004479.9999999999,1004599.9999999999,120.00000000000011,1004599.9999999999,,,
2026-09-07T08:59:00.028+00:00,1004.6999999999999,4.699999999999924,47,INSERT_DRIVE,47,0,simulation,1,,10.000000000000213,0.09999999999999787,1004579.9999999999,1004699.9999999999,120.00000000000011,1004699.9999999999,0.008963997460651593,1.9037599363561022,0.620379816047091
2026-09-07T08:59:00.128+00:00,1004.8,4.799999999999922,48,INSERT_DRIVE,48,0,simulation,1,,10.000000000000213,0.09999999999999787,1004680.0,1004800.0,120.00000000000011,1004800.0,0.008723815498766179,1.8850155044858001,0.8388258576313206
2026-09-07T08:59:00.228+00:00,1004.8999999999999,4.8999999999999195,49,INSERT_DRIVE,49,0,simulation,1,,10.000000000000213,0.09999999999999787,1004780.0,1004899.9999999999,120.00000000000011,1004899.9999999999,-0.02379256696447489,1.9243233547887773,-0.14115679588630314
